epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87994,3.09979,4.21905,2.28225,0.00111,0.1,0.00069,0.00014,2.87021,4.51269,2.35974,4e-05,4e-05,4e-05
2,15.0822,2.3349,3.89885,1.81739,0.00222,0.2,0.00152,0.00041,2.67302,4.35618,2.16472,9.802e-05,9.802e-05,9.802e-05
3,22.4366,2.43567,3.82159,1.75583,0.00556,0.5,0.01161,0.00568,2.10893,3.98041,1.72828,0.000153664,0.000153664,0.000153664
4,29.1724,2.28393,3.41596,1.61089,0.00778,0.7,0.37982,0.15428,2.00157,3.75426,1.49177,0.000206932,0.000206932,0.000206932
5,35.8104,2.10247,3.22156,1.40581,0.00778,0.7,0.36255,0.10004,2.2032,3.77067,1.49392,0.000257824,0.000257824,0.000257824
6,42.5882,2.25382,2.80871,1.5125,0.00889,0.8,0.33227,0.07528,2.02112,3.78021,1.35129,0.00030634,0.00030634,0.00030634
7,49.6525,2.21976,2.54493,1.3403,0.00889,0.8,0.50681,0.14529,2.34058,3.62049,1.4361,0.00035248,0.00035248,0.00035248
8,56.6149,2.08106,2.13521,1.39589,0.00889,0.8,0.49444,0.20461,2.19856,3.72045,1.39908,0.000396244,0.000396244,0.000396244
9,64.0599,2.09228,2.00217,1.33137,0.00778,0.7,0.43376,0.20594,2.16248,3.7411,1.40462,0.000437632,0.000437632,0.000437632
10,71.1875,2.02525,2.24894,1.32112,0.00667,0.6,0.42687,0.19973,2.09068,3.6056,1.33589,0.000476644,0.000476644,0.000476644
11,78.6554,2.21105,2.33764,1.45186,0.00889,0.8,0.47642,0.19532,2.03062,3.50777,1.32681,0.00051328,0.00051328,0.00051328
12,85.8182,2.23388,2.61262,1.54865,0.00889,0.8,0.36254,0.20275,2.11661,3.51131,1.37635,0.00054754,0.00054754,0.00054754
13,93.0861,2.31728,2.3427,1.42077,0.00667,0.6,0.26047,0.13612,2.28921,3.82401,1.54101,0.000579424,0.000579424,0.000579424
14,100.195,1.97322,2.04243,1.3851,0.00667,0.6,0.26066,0.15289,2.32423,3.77564,1.60775,0.000608932,0.000608932,0.000608932
15,107.404,1.82839,1.94522,1.36474,0.00667,0.6,0.23859,0.08317,2.37291,3.65303,1.64108,0.000636064,0.000636064,0.000636064
16,114.615,1.9152,1.83494,1.30983,0.00667,0.6,0.21571,0.06895,2.34612,3.69361,1.62419,0.00066082,0.00066082,0.00066082
17,122.063,1.81398,1.77535,1.28878,0.00667,0.6,0.23006,0.05672,2.62994,3.67616,1.85246,0.0006832,0.0006832,0.0006832
18,129.676,2.06514,1.77091,1.42638,0.01452,0.6,0.31077,0.11342,2.40536,3.61691,1.80995,0.000703204,0.000703204,0.000703204
19,137.726,2.01766,1.77282,1.43488,0.19749,0.4,0.30524,0.12828,2.40904,3.41272,1.76084,0.000720832,0.000720832,0.000720832
